"MLE_beta1" "MLE_beta2" "MLE_gama1" "MLE_lambda1"
2.7099623382567 -3.16146718023025 -1.34391109102688 -1.23859510981785
2.70813584397291 -3.11258670768176 -1.30611713505942 -1.27006905645348
2.69556220546001 -3.10865795328842 -1.29927228648128 -1.52507956688102
2.68041951790949 -3.06567118340533 -1.33600155834493 -1.20126509700971
2.69224098861225 -3.10002041993443 -1.28698961345104 -1.39759066343393
2.72401469361613 -3.12271632710827 -1.25969060793401 -1.53072575535839
2.6878833508206 -3.05406967664072 -1.41193061455301 -1.11026954679825
2.68324745073797 -3.06308388419053 -1.28233954227622 -1.56617677980218
2.69015247769538 -3.06227340550614 -1.28862669231989 -1.12559235012268
2.68961179341565 -3.08566021463072 -1.2180731814194 -2.10645107851436
2.70464053147503 -3.0842474279295 -1.31110378343607 -1.50015125764782
2.69387024051629 -3.09369632924566 -1.33845032409101 -1.5740284986256
2.70118036200693 -3.06472239920313 -1.36272475597784 -1.4802616024998
2.67638021677919 -3.09859236800384 -1.29884000983448 -1.60653919414136
2.72451457138225 -3.11497275823085 -1.22080298834717 -1.60725929390577
2.69783273731778 -3.10365428932161 -1.3267658440384 -1.37594932625648
2.70334301809766 -3.07375714462809 -1.32830666817646 -1.0741557477064
2.69983418574957 -3.04407468837344 -1.28865590440906 -1.24214544342974
2.67802441263968 -3.04580761294971 -1.43310440656351 -1.08186821819405
2.68688303046532 -3.06836335602147 -1.23120051065662 -1.64874514365187
2.6976639002515 -3.10391150627341 -1.33358041304416 -1.35886130008573
2.68779610476386 -3.14114347911792 -1.27759582452961 -1.4504824330041
2.71514856624328 -3.11429752834256 -1.20726645321285 -1.80923895022972
2.71429884181312 -3.12955503309078 -1.26351572975496 -1.72024332611893
2.69864045298426 -3.10485058950717 -1.32525124881374 -1.35443422284605
2.69369599093415 -3.06177876673288 -1.24336086882801 -1.48565377492959
2.67194230805349 -3.03600500977973 -1.30400288326249 -1.36351979841101
2.6859500104103 -3.08488933506946 -1.24089162129205 -1.74522732617978
2.71677756925626 -3.13491527980033 -1.29323425007119 -1.58131053252041
2.7182241953235 -3.11802993029232 -1.17962172355482 -1.98132828179558
2.70680330155387 -3.10642624643817 -1.28856623165814 -1.60727542384105
2.68720861915032 -3.04652130157862 -1.30281924642601 -1.13096472871242
2.71306293146765 -3.12781534638011 -1.27624190807453 -1.49839058963019
2.68993008013341 -3.05027850281256 -1.39798706822976 -0.940998323916461
2.68704502819781 -3.11238699047771 -1.28787258894011 -1.34883656232915
2.70169393048196 -3.10229864145711 -1.2338403532027 -1.42800297466727
2.72101799412593 -3.13697108711517 -1.29332882616687 -1.40060013621018
2.69509899561169 -3.09185342615475 -1.32062188860017 -1.33728872512433
2.70183926746314 -3.12049222731613 -1.24497718388809 -1.59153163067576
2.67952953446926 -3.1246526299869 -1.38027190980285 -1.12974799733634
2.72715249995075 -3.11179607044059 -1.21741981373152 -1.60715841130394
2.69164730549649 -3.08821970623991 -1.29277758194688 -1.66460320543961
2.69627959278791 -3.0989262454861 -1.40695352924367 -1.18007353663868
2.6812984353428 -3.04726437274081 -1.33469431561324 -1.16887512039699
2.73041668382921 -3.15594415584125 -1.27748780511378 -1.30731519840877
2.72418450259531 -3.12301402326629 -1.41404650142831 -0.893656763636431
2.69897117815293 -3.10029267858456 -1.28675237658967 -1.37024605070066
2.68408529843044 -3.06058182113834 -1.19196752759573 -1.82734743503809
2.71435062210245 -3.12843814532547 -1.23063406116533 -1.65129035544159
2.69795866788799 -3.10850057192633 -1.26965589409601 -1.61697330858707
2.71417159834971 -3.06622414611224 -1.343784290294 -1.26151398579029
2.67703146538764 -3.03446085296202 -1.39650564976036 -1.09763775476791
2.68873162189371 -3.08255264857907 -1.27542958786516 -1.4677500040201
2.70841088698203 -3.14857415556311 -1.30659852089053 -1.49904184933231
2.69707743468029 -3.11059379847744 -1.2228859644327 -1.98438701041283
2.68611687451256 -3.079565187441 -1.26668632359754 -1.43820507707341
2.68643379254637 -3.08968268759832 -1.27222425079774 -1.60686199764146
2.69920347771345 -3.12834120321831 -1.39839499308071 -0.947345582234409
2.71419416922636 -3.14621628473397 -1.32965799933772 -1.48485188670387
2.70124991305117 -3.12106759152772 -1.21506091741161 -1.3621082192334
2.68333852730588 -3.05384972485481 -1.21812793899074 -1.63399602140153
2.67053334413526 -2.99155413652263 -1.22342686834414 -2.15321246745014
2.716852543825 -3.13613025199213 -1.34063753485588 -1.22108556383729
2.70202580221217 -3.0969833565499 -1.30751257944369 -1.66497309783947
2.68885097720382 -3.07962164934835 -1.31243694948731 -1.50828876988805
2.68263592535289 -3.00563052501941 -1.22517625691823 -1.92501123399344
2.70517423907243 -3.07710802225527 -1.22036192042077 -1.58208565482948
2.72240241984374 -3.1482195993549 -1.29764757292527 -1.36664945477832
2.6906957932728 -3.05700040908218 -1.24359152415376 -1.48772514346846
2.72046152005979 -3.13141686020885 -1.40393104028606 -1.2560542965828
2.6936110057183 -3.04740831677764 -1.2991014941063 -1.54676920669353
2.70737821848857 -3.1630022051315 -1.35962640146512 -1.10333549458441
2.68449955333112 -3.07140942068324 -1.34942251999565 -1.01772923467777
2.69857934302848 -3.0956420281978 -1.38965997286643 -1.24747425175962
2.69852111537892 -3.13421310905177 -1.39534576211024 -1.07428095075466
2.71473104559626 -3.14057266286361 -1.37060360383459 -1.21841232494182
2.69284753733908 -3.06366763661224 -1.23807668392765 -1.63318729821227
2.69616783212787 -3.09753211895298 -1.35709386310132 -1.40205976935715
2.70642484060904 -3.08157042406653 -1.2923882740253 -1.23448420724461
2.69506545773236 -3.12107721206864 -1.25012278567001 -1.50807050157306
2.71112127481044 -3.1287519904705 -1.24721681396194 -1.60660190185213
2.72223663316698 -3.14984423848488 -1.31051468350464 -1.6719076580639
2.71108881993899 -3.09794040172046 -1.20999966208648 -1.75346448925941
2.68285703761615 -3.04197714781813 -1.31256958994328 -1.40430039490757
